Tree,Time,Age,Growth
T9,1995,16,0.724127064
T12,1998,16,1.411914074
T2,1999,16,1.051198427
T19,1968,17,0.03147801
T1,1980,17,0.73683552
T3,1983,17,1.236020717
T6,1983,17,1.199449346
T17,1986,17,0.601858923
T7,1992,17,1.091975688
T4,1993,17,1.229053969
T20,1993,17,1.158069999
T11,1994,17,0.856236044
T9,1996,17,1.281747173
T12,1999,17,1.041552071
T2,2000,17,1.095822543
T19,1969,18,0.411955394
T1,1981,18,1.076511001
T3,1984,18,0.871566816
T6,1984,18,0.730642791
T17,1987,18,0.950468278
T7,1993,18,1.186672949
T4,1994,18,0.934123043
T20,1994,18,0.94265995
T11,1995,18,0.955897542
T9,1997,18,0.939970468
T12,2000,18,1.243129247
T19,1970,19,1.04951263
T1,1982,19,1.267061484
T3,1985,19,1.236026981
T6,1985,19,1.133260189
T17,1988,19,0.611547659
T7,1994,19,1.01571175
T4,1995,19,0.836446582
T20,1995,19,0.647347402
T11,1996,19,1.168347877
T9,1998,19,1.359895105
T19,1971,20,0.675571832
T1,1983,20,1.286311482
T3,1986,20,0.660616703
T6,1986,20,0.646327386
T17,1989,20,0.379631147
T7,1995,20,0.875388349
T4,1996,20,1.212278354
T20,1996,20,1.322824478
T11,1997,20,1.045857099
T9,1999,20,1.00364806
T19,1972,21,0.285566319
T1,1984,21,0.762109996
T3,1987,21,0.802377783
T6,1987,21,0.898377973
T17,1990,21,0.963611014
T7,1996,21,1.14588895
T4,1997,21,0.787961225
T20,1997,21,1.013733322
T11,1998,21,1.237688854
T9,2000,21,1.116447156
T19,1973,22,0.604527979
T1,1985,22,1.259359286
T3,1988,22,0.874822594
T6,1988,22,0.861778591
T17,1991,22,1.230567396
T7,1997,22,0.802933873
T4,1998,22,1.255424393
T20,1998,22,1.326200846
T11,1999,22,0.862287993
T19,1974,23,1.123616077
T1,1986,23,0.650445364
T3,1989,23,0.366780528
T6,1989,23,0.513422507
T17,1992,23,0.987759905
T7,1998,23,1.467982833
T4,1999,23,0.961538352
T20,1999,23,0.945438812
T11,2000,23,1.216994509
T19,1975,24,0.988545695
T1,1987,24,0.874042372
T3,1990,24,1.085445164
T6,1990,24,1.045797543
T17,1993,24,1.130551072
T7,1999,24,1.039115715
T4,2000,24,1.335334301
T20,2000,24,1.332238343
T19,1976,25,0.731503291
T1,1988,25,0.754628213
T3,1991,25,1.09331389
T6,1991,25,1.233626625
T17,1994,25,0.919408426
T7,2000,25,1.143252983
T19,1977,26,1.005636134
T1,1989,26,0.387447819
T3,1992,26,0.955126592
T6,1992,26,0.901965608
T17,1995,26,0.841918314
T19,1978,27,0.444866626
T1,1990,27,1.084563361
T3,1993,27,1.296960002
T6,1993,27,1.081946898
T17,1996,27,1.08051055
T19,1979,28,1.014546728
T1,1991,28,1.053501826
T3,1994,28,0.930328079
T6,1994,28,0.959223781
T17,1997,28,0.98676344
T19,1980,29,0.66489962
T1,1992,29,0.940212388
T3,1995,29,0.757661633
T6,1995,29,0.766568792
T17,1998,29,1.403944758
T19,1981,30,1.062973405
T1,1993,30,1.247919384
T3,1996,30,1.007786927
T6,1996,30,1.126226036
T17,1999,30,1.062416207
T19,1982,31,1.040253021
T1,1994,31,0.951961469
T3,1997,31,0.796287913
T6,1997,31,1.000138787
T17,2000,31,1.242453214
T19,1983,32,1.035877627
T1,1995,32,0.684069788
T3,1998,32,1.462209256
T6,1998,32,1.253360407
T19,1984,33,0.767039872
T1,1996,33,1.237041723
T3,1999,33,1.006293973
T6,1999,33,1.182823541
T19,1985,34,1.102834368
T1,1997,34,0.668095049
T3,2000,34,1.071169889
T6,2000,34,1.153435516
T19,1986,35,0.527650208
T1,1998,35,1.414176427
T19,1987,36,0.865277532
T1,1999,36,1.033158235
T19,1988,37,0.914103408
T1,2000,37,1.156750192
T19,1989,38,0.5216178
T19,1990,39,1.088029647
T19,1991,40,1.150936973
T19,1992,41,0.874592501
T19,1993,42,1.024629764
T19,1994,43,1.023709023
T19,1995,44,0.816926696
T19,1996,45,1.121332503
T19,1997,46,0.7785932
T19,1998,47,1.348512122
T19,1999,48,1.075620998
T19,2000,49,1.231135488
