Growth,Tree,Time,Age
0.500931558,A2,1667,19
0.437856782,A13,1696,19
0.769707176,A6,73,20
1.346633105,A12,105,20
0.383626182,A11,136,20
0.570838743,A19,169,20
0.386259716,A7,247,20
0.208240461,A10,382,20
0.289509972,A20,493,20
0.320375108,A3,820,20
0.80652188,A18,858,20
0.426450866,A5,867,20
0.236502184,A1,997,20
0.843994958,A16,1007,20
0.72820931,A14,1098,20
0.81506439,A17,1206,20
0.399611142,A4,1358,20
0.385679564,A9,1421,20
0.650440945,A8,1509,20
0.504407376,A15,1630,20
1.423661329,A2,1668,20
0.583391305,A13,1697,20
0.519107866,A6,74,21
0.914416542,A12,106,21
0.33682056,A11,137,21
0.697483959,A19,170,21
0.508868699,A7,248,21
0.305190367,A10,383,21
0.358368216,A20,494,21
0.179379774,A3,821,21
0.393951897,A18,859,21
0.522972192,A5,868,21
0.426291355,A1,998,21
0.428508076,A16,1008,21
0.486336238,A14,1099,21
0.508107531,A17,1207,21
0.136532666,A4,1359,21
0.364221397,A9,1422,21
0.453429209,A8,1510,21
0.461378736,A15,1631,21
0.432569671,A2,1669,21
0.513024885,A13,1698,21
1.006047038,A6,75,22
0.685848738,A12,107,22
0.383605087,A11,138,22
0.663052796,A19,171,22
0.409644644,A7,249,22
0.701338547,A10,384,22
0.33750647,A20,495,22
0.182789085,A3,822,22
0.545840299,A18,860,22
0.369806767,A5,869,22
0.282811218,A1,999,22
0.96851737,A16,1009,22
0.678550775,A14,1100,22
0.875003579,A17,1208,22
0.351404918,A4,1360,22
0.185013767,A9,1423,22
0.753323941,A8,1511,22
0.396099988,A15,1632,22
0.443784805,A2,1670,22
0.543985566,A13,1699,22
0.603973009,A6,76,23
0.577441715,A12,108,23
0.151895908,A11,139,23
0.71159459,A19,172,23
0.479693668,A7,250,23
0.26587769,A10,385,23
0.435309398,A20,496,23
0.302503132,A3,823,23
0.393204921,A18,861,23
0.519996982,A5,870,23
0.332010465,A1,1000,23
0.69544824,A16,1010,23
0.781411064,A14,1101,23
0.860750078,A17,1209,23
0.217761065,A4,1361,23
0.204476254,A9,1424,23
0.381811795,A8,1512,23
0.388997566,A15,1633,23
0.574465422,A2,1671,23
0.820842832,A13,1700,23
0.492619086,A6,77,24
0.556172784,A12,109,24
0.407978831,A11,140,24
0.526338313,A19,173,24
0.378650836,A7,251,24
0.430450471,A10,386,24
0.539354201,A20,497,24
0.313255567,A3,824,24
0.486112521,A18,862,24
0.250669752,A5,871,24
0.548721724,A1,1001,24
0.473422234,A16,1011,24
0.307195023,A14,1102,24
0.802119912,A17,1210,24
0.276803713,A4,1362,24
0.251283804,A9,1425,24
0.687677396,A8,1513,24
0.393931798,A15,1634,24
0.7866772,A2,1672,24
0.556581085,A13,1701,24
0.685348823,A6,78,25
0.548214101,A12,110,25
0.352359473,A11,141,25
0.536219225,A19,174,25
0.328950814,A7,252,25
0.182580138,A10,387,25
0.322564423,A20,498,25
0.272910565,A3,825,25
0.481879584,A18,863,25
0.215371404,A5,872,25
0.417019644,A1,1002,25
0.736744277,A16,1012,25
0.632937535,A14,1103,25
0.343335808,A17,1211,25
0.241267979,A4,1363,25
0.3479404,A9,1426,25
0.77951082,A8,1514,25
0.569016371,A15,1635,25
0.481316578,A2,1673,25
0.654634259,A13,1702,25
0.485546193,A6,79,26
0.877722748,A12,111,26
0.341208331,A11,142,26
0.929934654,A19,175,26
0.402804414,A7,253,26
0.253492807,A10,388,26
0.506732513,A20,499,26
0.18119672,A3,826,26
0.449660978,A18,864,26
0.117759392,A5,873,26
0.528922018,A1,1003,26
0.799233954,A16,1013,26
0.288509369,A14,1104,26
1.703437065,A17,1212,26
0.166434989,A4,1364,26
0.166299878,A9,1427,26
0.374671707,A8,1515,26
0.592879146,A15,1636,26
0.444191044,A2,1674,26
0.546082839,A13,1703,26
0.328009819,A6,80,27
0.931531082,A12,112,27
0.320858968,A11,143,27
0.900127043,A19,176,27
0.466404328,A7,254,27
0.300686647,A10,389,27
0.386866741,A20,500,27
0.220785735,A3,827,27
0.367944134,A18,865,27
0.165702668,A5,874,27
0.612765049,A1,1004,27
0.578106267,A16,1014,27
0.333922491,A14,1105,27
0.549417631,A17,1213,27
0.225115239,A4,1365,27
0.342661035,A9,1428,27
0.465425039,A8,1516,27
0.379260016,A15,1637,27
0.398515859,A2,1675,27
0.504386841,A13,1704,27
0.443138472,A6,81,28
0.790998043,A12,113,28
0.269619376,A11,144,28
0.453235374,A19,177,28
0.424413037,A7,255,28
0.294373136,A10,390,28
0.565445837,A20,501,28
0.201589503,A3,828,28
0.446358579,A18,866,28
0.163503495,A5,875,28
0.493949034,A1,1005,28
0.646401314,A16,1015,28
0.378080244,A14,1106,28
1.042681718,A17,1214,28
0.269422601,A4,1366,28
0.170490016,A9,1429,28
1.036484319,A8,1517,28
0.149480698,A15,1638,28
0.494322701,A2,1676,28
0.480673445,A13,1705,28
0.48534286,A6,82,29
0.494195316,A12,114,29
0.287322555,A11,145,29
0.420546627,A19,178,29
0.426106443,A7,256,29
0.307772546,A10,391,29
0.517945627,A20,502,29
0.213060115,A3,829,29
0.49459259,A18,867,29
0.184055963,A5,876,29
0.760436907,A1,1006,29
0.637496166,A16,1016,29
0.477701336,A14,1107,29
1.050682915,A17,1215,29
0.248536651,A4,1367,29
0.213069036,A9,1430,29
0.259885217,A8,1518,29
0.47945857,A15,1639,29
0.493113072,A2,1677,29
0.499660842,A13,1706,29
0.323925826,A6,83,30
0.39553087,A12,115,30
0.278108697,A11,146,30
0.657659558,A19,179,30
0.433353577,A7,257,30
0.19009737,A10,392,30
0.238626495,A20,503,30
0.077981403,A3,830,30
0.354441636,A18,868,30
0.212943664,A5,877,30
0.329034922,A1,1007,30
0.537849917,A16,1017,30
0.757352133,A14,1108,30
0.333556701,A17,1216,30
0.195492984,A4,1368,30
0.146055149,A9,1431,30
0.576051816,A8,1519,30
0.472401207,A15,1640,30
0.520319784,A2,1678,30
0.701148267,A13,1707,30
0.44646203,A6,84,31
0.720720887,A12,116,31
0.231361175,A11,147,31
0.640766378,A19,180,31
0.640787426,A7,258,31
0.25966848,A10,393,31
0.371906236,A20,504,31
0.099507727,A3,831,31
0.409569591,A18,869,31
0.112109269,A5,878,31
0.325776241,A1,1008,31
0.292034398,A16,1018,31
0.429596867,A14,1109,31
0.754513225,A17,1217,31
0.243816862,A4,1369,31
0.309316528,A9,1432,31
0.289317081,A8,1520,31
0.421284902,A15,1641,31
0.320059512,A2,1679,31
0.523813017,A13,1708,31
0.333300716,A6,85,32
0.776339369,A12,117,32
0.53068133,A11,148,32
0.683107851,A19,181,32
0.3491302,A7,259,32
0.292216204,A10,394,32
0.305262629,A20,505,32
0.113636374,A3,832,32
0.537014906,A18,870,32
0.227453615,A5,879,32
0.688302233,A1,1009,32
0.50155676,A16,1019,32
0.318356636,A14,1110,32
0.543703972,A17,1218,32
0.104532486,A4,1370,32
0.154985159,A9,1433,32
0.303106701,A8,1521,32
0.329548845,A15,1642,32
0.287486769,A2,1680,32
0.715305998,A13,1709,32
0.470353924,A6,86,33
0.636741558,A12,118,33
0.274394081,A11,149,33
0.264806384,A19,182,33
0.423486824,A7,260,33
0.329549001,A10,395,33
0.336915326,A20,506,33
0.21927544,A3,833,33
0.355121975,A18,871,33
0.17643681,A5,880,33
0.700585169,A1,1010,33
0.394555702,A16,1020,33
0.463300514,A14,1111,33
0.719680678,A17,1219,33
0.1713304,A4,1371,33
0.214698939,A9,1434,33
0.517999654,A8,1522,33
0.526230674,A15,1643,33
0.524577585,A2,1681,33
0.469606311,A13,1710,33
0.46643955,A6,87,34
0.862102316,A12,119,34
0.247864039,A11,150,34
0.623814248,A19,183,34
0.282823367,A7,261,34
0.22339849,A10,396,34
0.372353337,A20,507,34
0.101838803,A3,834,34
0.382883512,A18,872,34
0.083123367,A5,881,34
0.357593201,A1,1011,34
0.426620463,A16,1021,34
0.674883321,A14,1112,34
0.424486759,A17,1220,34
0.272395018,A4,1372,34
0.168181903,A9,1435,34
0.324440039,A8,1523,34
0.365042434,A15,1644,34
0.428367609,A2,1682,34
0.321987606,A13,1711,34
0.480472349,A6,88,35
0.814591122,A12,120,35
0.298649873,A11,151,35
0.265883542,A19,184,35
0.527406288,A7,262,35
0.206550271,A10,397,35
0.276585094,A20,508,35
0.101938466,A3,835,35
0.274161771,A18,873,35
0.326322282,A5,882,35
0.533802205,A1,1012,35
0.523691664,A16,1022,35
0.413126,A14,1113,35
0.782025952,A17,1221,35
0.111369733,A4,1373,35
0.189835813,A9,1436,35
0.454196552,A8,1524,35
0.349668094,A15,1645,35
0.295839236,A2,1683,35
0.381382658,A13,1712,35
0.379428724,A6,89,36
0.490371324,A12,121,36
0.27418963,A11,152,36
0.48277299,A19,185,36
0.474186365,A7,263,36
0.34986893,A10,398,36
0.454341008,A20,509,36
0.19947111,A3,836,36
0.361523255,A18,874,36
0.238964459,A5,883,36
0.44511869,A1,1013,36
0.507509666,A16,1023,36
0.601803456,A14,1114,36
0.501086679,A17,1222,36
0.156662099,A4,1374,36
0.208230153,A9,1437,36
0.555355483,A8,1525,36
0.268451497,A15,1646,36
0.287647942,A2,1684,36
0.603338464,A13,1713,36
0.461076145,A6,90,37
0.31505673,A12,122,37
0.3076795,A11,153,37
0.226985195,A19,186,37
0.303646454,A7,264,37
0.390908955,A10,399,37
0.432352786,A20,510,37
0.142799031,A3,837,37
0.655310814,A18,875,37
0.12201944,A5,884,37
0.437016253,A1,1014,37
0.486909689,A16,1024,37
0.349950148,A14,1115,37
0.587022203,A17,1223,37
0.140961757,A4,1375,37
0.267560982,A9,1438,37
0.264749749,A8,1526,37
0.456751347,A15,1647,37
0.259442247,A2,1685,37
0.441880979,A13,1714,37
0.495494582,A6,91,38
0.299186369,A12,123,38
0.248383315,A11,154,38
0.416111788,A19,187,38
0.258646413,A7,265,38
0.403738493,A10,400,38
0.326710018,A20,511,38
0.107823596,A3,838,38
0.269072064,A18,876,38
0.125149524,A5,885,38
0.433091075,A1,1015,38
0.461567251,A16,1025,38
0.468870064,A14,1116,38
0.314301973,A17,1224,38
0.205248883,A4,1376,38
0.313927393,A9,1439,38
0.251336439,A8,1527,38
0.230226396,A15,1648,38
0.216715795,A2,1686,38
0.295139271,A13,1715,38
0.402774592,A6,92,39
0.56666333,A12,124,39
0.51503318,A11,155,39
0.408461687,A19,188,39
0.517311841,A7,266,39
0.268320143,A10,401,39
0.280650009,A20,512,39
0.170368516,A3,839,39
0.311635097,A18,877,39
0.105943235,A5,886,39
0.49504338,A1,1016,39
0.357546259,A16,1026,39
0.45235361,A14,1117,39
0.267143645,A17,1225,39
0.183665417,A4,1377,39
0.144225536,A9,1440,39
0.180655782,A8,1528,39
0.412107363,A15,1649,39
0.187664942,A2,1687,39
0.490687966,A13,1716,39
0.414748408,A6,93,40
1.120672036,A12,125,40
0.359032206,A11,156,40
0.217434926,A19,189,40
0.416029076,A7,267,40
0.250204535,A10,402,40
0.372578938,A20,513,40
0.079029789,A3,840,40
0.559266779,A18,878,40
0.180829131,A5,887,40
0.33315115,A1,1017,40
0.199866621,A16,1027,40
0.440148267,A14,1118,40
0.269423506,A17,1226,40
0.106776994,A4,1378,40
0.238324708,A9,1441,40
0.27323422,A8,1529,40
0.36827744,A15,1650,40
0.193733169,A2,1688,40
0.23782479,A13,1717,40
0.293540883,A6,94,41
0.373105402,A12,126,41
0.260943943,A11,157,41
0.32230562,A19,190,41
0.254875669,A7,268,41
0.329922599,A10,403,41
0.547346232,A20,514,41
0.13281116,A3,841,41
0.208763117,A18,879,41
0.105464335,A5,888,41
0.437663729,A1,1018,41
0.260906593,A16,1028,41
0.695483629,A14,1119,41
0.458051223,A17,1227,41
0.195192533,A4,1379,41
0.160861492,A9,1442,41
0.232796466,A8,1530,41
0.483357749,A15,1651,41
0.32291675,A2,1689,41
0.516521264,A13,1718,41
0.331634675,A6,95,42
0.411786242,A12,127,42
0.548033304,A11,158,42
0.403780999,A19,191,42
0.122050988,A7,269,42
0.359037047,A10,404,42
0.387611286,A20,515,42
0.133392936,A3,842,42
0.378218759,A18,880,42
0.245139001,A5,889,42
0.223681469,A1,1019,42
0.212848534,A16,1029,42
0.533046,A14,1120,42
0.343370805,A17,1228,42
0.113601021,A4,1380,42
0.296640882,A9,1443,42
0.216496266,A8,1531,42
0.25569172,A15,1652,42
0.305978371,A2,1690,42
0.472900383,A13,1719,42
0.390798553,A6,96,43
0.456987992,A12,128,43
0.194967396,A11,159,43
0.340569549,A19,192,43
0.384248663,A7,270,43
0.415538301,A10,405,43
0.20162329,A20,516,43
0.099871476,A3,843,43
0.310821198,A18,881,43
0.196276522,A5,890,43
0.425633837,A1,1020,43
0.202845278,A16,1030,43
0.301373073,A14,1121,43
0.214727957,A17,1229,43
0.149668938,A4,1381,43
0.127608226,A9,1444,43
0.156378263,A8,1532,43
0.443372465,A15,1653,43
0.556231063,A2,1691,43
0.264822806,A13,1720,43
0.275692977,A6,97,44
0.359654693,A12,129,44
0.320445036,A11,160,44
0.255364078,A19,193,44
0.380498086,A7,271,44
0.196589163,A10,406,44
0.29368446,A20,517,44
0.183791716,A3,844,44
0.343509636,A18,882,44
0.088172457,A5,891,44
0.649154477,A1,1021,44
0.428284616,A16,1031,44
0.461589709,A14,1122,44
0.389796455,A17,1230,44
0.09908668,A4,1382,44
0.188947802,A9,1445,44
0.187311565,A8,1533,44
0.27342294,A15,1654,44
0.358147319,A2,1692,44
0.243421739,A13,1721,44
0.398572033,A6,98,45
0.329126909,A12,130,45
0.441200366,A11,161,45
0.409299704,A19,194,45
0.291250301,A7,272,45
0.333193026,A10,407,45
0.375323069,A20,518,45
0.094024116,A3,845,45
0.389489137,A18,883,45
0.212752751,A5,892,45
0.278965231,A1,1022,45
0.258342845,A16,1032,45
0.455681359,A14,1123,45
0.228064798,A17,1231,45
0.130632702,A4,1383,45
0.179821092,A9,1446,45
0.257849224,A8,1534,45
0.439275368,A15,1655,45
0.250101894,A2,1693,45
0.380094232,A13,1722,45
0.350776263,A6,99,46
0.915902736,A12,131,46
0.368648214,A11,162,46
0.437556403,A19,195,46
0.244552019,A7,273,46
0.298538824,A10,408,46
0.927938298,A20,519,46
0.099237775,A3,846,46
0.188517686,A18,884,46
0.137221882,A5,893,46
0.568507994,A1,1023,46
0.140829788,A16,1033,46
0.604988614,A14,1124,46
0.256456884,A17,1232,46
0.093417031,A4,1384,46
0.176548679,A9,1447,46
0.301503101,A8,1535,46
0.322885359,A15,1656,46
0.190577763,A2,1694,46
0.350984233,A13,1723,46
0.493922258,A6,100,47
0.485283704,A12,132,47
0.484062419,A11,163,47
0.33854638,A19,196,47
0.431670633,A7,274,47
0.495404026,A10,409,47
0.294965688,A20,520,47
0.17721463,A3,847,47
0.292010014,A18,885,47
0.102451322,A5,894,47
0.662250471,A1,1024,47
0.325575729,A16,1034,47
0.376781026,A14,1125,47
0.354700051,A17,1233,47
0.108075655,A4,1385,47
0.317769458,A9,1448,47
0.38235796,A8,1536,47
0.336304995,A15,1657,47
0.331502327,A2,1695,47
0.439039611,A13,1724,47
0.281135281,A6,101,48
0.33485261,A12,133,48
0.370818415,A11,164,48
0.32762056,A19,197,48
0.133402928,A7,275,48
0.157990403,A10,410,48
0.294130544,A20,521,48
0.136938736,A3,848,48
0.179614257,A18,886,48
0.155964686,A5,895,48
0.438014305,A1,1025,48
0.260649898,A16,1035,48
0.397422946,A14,1126,48
0.514478952,A17,1234,48
0.109871018,A4,1386,48
0.178694972,A9,1449,48
0.235898758,A8,1537,48
0.26605746,A15,1658,48
0.353465542,A2,1696,48
0.346828082,A13,1725,48
0.458551955,A6,102,49
0.185404359,A12,134,49
0.378662371,A11,165,49
0.443254074,A19,198,49
0.21615266,A7,276,49
0.375575179,A10,411,49
0.369228983,A20,522,49
0.115604867,A3,849,49
0.180552397,A18,887,49
0.143385952,A5,896,49
0.250151773,A1,1026,49
0.231713966,A16,1036,49
0.439683676,A14,1127,49
0.22977379,A17,1235,49
0.114508424,A4,1387,49
0.138882682,A9,1450,49
0.234747546,A8,1538,49
0.510747342,A15,1659,49
0.439203815,A2,1697,49
0.221767835,A13,1726,49
0.317449098,A6,103,50
0.554788937,A12,135,50
0.440982883,A11,166,50
0.392423122,A19,199,50
0.252220092,A7,277,50
0.247840077,A10,412,50
0.409764201,A20,523,50
0.180460642,A3,850,50
0.23081758,A18,888,50
0.133579211,A5,897,50
0.313517206,A1,1027,50
0.342994134,A16,1037,50
0.1819174,A14,1128,50
0.283821368,A17,1236,50
0.065051777,A4,1388,50
0.280512396,A9,1451,50
0.390750973,A8,1539,50
0.891479894,A15,1660,50
0.689615912,A2,1698,50
0.244580044,A13,1727,50
0.367578797,A6,104,51
0.268269971,A12,136,51
0.414495396,A11,167,51
0.271543844,A19,200,51
0.163135371,A7,278,51
0.198733623,A10,413,51
0.28410756,A20,524,51
0.168546858,A3,851,51
0.148231715,A18,889,51
0.15146538,A5,898,51
0.1936687,A1,1028,51
0.43034034,A16,1038,51
0.342721648,A14,1129,51
0.333524661,A17,1237,51
0.095458724,A4,1389,51
0.268138088,A9,1452,51
0.275259069,A8,1540,51
0.39244998,A15,1661,51
0.76544011,A2,1699,51
0.260278671,A13,1728,51
0.310007319,A6,105,52
0.401269932,A12,137,52
0.345115485,A11,168,52
0.313234486,A19,201,52
0.164801682,A7,279,52
0.276922038,A10,414,52
0.453935453,A20,525,52
0.322183845,A3,852,52
0.210182335,A18,890,52
0.22349362,A5,899,52
0.205247902,A1,1029,52
0.30222237,A16,1039,52
0.206336755,A14,1130,52
0.170785005,A17,1238,52
0.048067388,A4,1390,52
0.323880063,A9,1453,52
0.209970992,A8,1541,52
